device_id,file_id,wafer_id,lot_id,part_type,x_coord,y_coord,site_num,head_num,pass_fail,hard_bin,soft_bin,num_tests_run,test_time_ms,part_id,attempt_index,ingestion_ts,ingestion_date
7f9e492c365239a3_66,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,21,-6,0,1,PASS,1,1,74,0,66,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_67,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,20,-6,0,1,PASS,1,1,72,0,67,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_68,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,19,-6,0,1,PASS,1,1,72,0,68,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_69,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,18,-6,0,1,PASS,1,1,72,0,69,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_70,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,17,-6,0,1,PASS,1,1,72,0,70,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_71,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,16,-6,0,1,PASS,1,1,72,0,71,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_72,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,15,-6,0,1,PASS,1,1,74,0,72,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_73,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,14,-6,0,1,FAIL,2,2,54,0,73,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_74,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,13,-6,0,1,FAIL,10,10,11,0,74,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_75,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,12,-7,0,1,PASS,1,1,74,0,75,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_76,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,13,-7,0,1,PASS,1,1,72,0,76,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_77,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,14,-7,0,1,PASS,1,1,72,0,77,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_78,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,15,-7,0,1,PASS,1,1,72,0,78,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_79,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,16,-7,0,1,PASS,1,1,72,0,79,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_80,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,17,-7,0,1,FAIL,20,20,62,0,80,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_81,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,18,-7,0,1,PASS,1,1,74,0,81,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_82,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,19,-7,0,1,PASS,1,1,72,0,82,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_83,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,20,-7,0,1,PASS,1,1,72,0,83,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_84,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,21,-7,0,1,PASS,1,1,72,0,84,0,2026-03-24T15:03:32Z,2026-03-24
